,Area,Location_A,Quantity (sq.km),Sentinel pixels,Lat,Lon,tile,EventDate,Product_title,Image_date,CloudCover,id,DaysDiff
276,Safaniyah,Exact,0.018,0.18,28.392667,48.873833,39RTM,12/13/2019,S2A_MSIL1C_20191219T072311_N0208_R006_T39RTM_20191219T084131,12/19/2019,2.8806,afd5bcf9-0739-4dee-aeec-b4dc58dc6b1c,6
275,Abu Safah,Exact,0.003,0.03,26.925,50.505,39RVK,11/18/2019,S2B_MSIL1C_20191124T072219_N0208_R006_T39RVK_20191124T092959,11/24/2019,0.0412,37cdabe9-785b-4a61-9891-b610dd44fff7,6
136,Abu Safah,Exact,0.018,0.18,26.905,50.488333,39RVK,11/7/2019,S2B_MSIL1C_20191111T071129_N0208_R106_T39RVK_20191111T091908,11/11/2019,1.2983,5f8d7153-66d9-47c8-b9a1-4cae4b5de2f6,4
235,Ras Tanura,Estimated,0.002,0.02,26.7225,50.076333,39RVK,9/28/2019,S2B_MSIL1C_20191002T070719_N0208_R106_T39RVK_20191002T105402,10/2/2019,0.0315,fb4eef91-74f9-4116-b33a-77a64faeceec,4
32,Juaymah,Exact,0.425,4.25,26.923333,50.073667,39RVK,7/29/2019,S2B_MSIL1C_20190803T070629_N0208_R106_T39RVK_20190803T105217,8/3/2019,0.1598,20604386-3d47-4dce-8d40-b7d2bdcd2d56,5
324,Safaniyah,Exact,0.028,0.28,28.019268,48.783403,39RTM,5/15/2019,S2B_MSIL1C_20190518T071629_N0207_R006_T39RTM_20190518T095422,5/18/2019,5.6446,a5e1e928-d106-4859-aee9-5c6145f7e9c8,3
45,Berri,Exact,0.001,0.01,,,39RUL,4/18/2019,S2A_MSIL1C_20190423T071621_N0207_R006_T39RUL_20190423T092131,4/23/2019,0.0971,62d2d47e-a3ef-4465-9df2-9b198709dc36,5
61,Safaniyah,Exact,0.006,0.06,28.291667,48.886833,39RTM,4/12/2019,S2B_MSIL1C_20190418T071619_N0207_R006_T39RTM_20190418T095438,4/18/2019,4.5135,e09b4659-bfb6-4c86-8326-0d72ed1f9b6d,6
195,Safaniyah,Exact,0.011,0.11,,,39RTM,4/14/2019,S2B_MSIL1C_20190418T071619_N0207_R006_T39RTM_20190418T095438,4/18/2019,4.5135,e09b4659-bfb6-4c86-8326-0d72ed1f9b6d,4
108,Safaniyah,Exact,1.478,14.78,28.291667,48.886833,39RTM,4/11/2019,S2A_MSIL1C_20190416T072621_N0207_R049_T39RTM_20190416T093136,4/16/2019,33.443,33b859f8-6c23-482e-b0be-4dbe707a6dc8,5
238,Berri,Exact,0.148,1.48,,,39RUL,4/10/2019,S2B_MSIL1C_20190415T070629_N0207_R106_T39RUL_20190415T102644,4/15/2019,0,c8fac61a-bc26-43f8-85c6-3bfd49413c85,5
294,Safaniyah,Exact,8.87,88.7,28.3745,48.919,39RTM,4/5/2019,S2B_MSIL1C_20190411T072619_N0207_R049_T39RTM_20190411T094225,4/11/2019,0,e8d2f177-6329-4e20-9e7a-8fdd1c0b55e6,6
200,North Pier,Exact,0.004,0.04,28.059333,50.1595,39RVM,4/1/2019,S2B_MSIL1C_20190405T070629_N0207_R106_T39RVM_20190405T101646,4/5/2019,19.089,608b996f-413b-47e0-ba39-24af0e8a5bc8,4
187,Berri,Exact,0.198,1.98,,,39RUL,3/16/2019,S2A_MSIL1C_20190321T070621_N0207_R106_T39RUL_20190321T123231,3/21/2019,89.6346,41d209cd-188a-4889-9180-337c18334d68,5
36,Safaniyah,Exact,0.514,5.14,28.049167,48.760167,39RTM,3/10/2019,S2A_MSIL1C_20190314T071651_N0207_R006_T39RTM_20190314T110104,3/14/2019,99.9648,4123f27f-47dd-4370-b1bf-20b166aae336,4
100,Berri,Exact,0.844,8.44,,,39RUL,3/8/2019,S2A_MSIL1C_20190314T071651_N0207_R006_T39RUL_20190314T110104,3/14/2019,96.5255,bf2f2d30-f5f1-44cc-85b1-13322fd557b8,6
111,Arabiyah Field,Exact,0,0,27.872,50.370333,39RVL,3/5/2019,S2A_MSIL1C_20190311T070711_N0207_R106_T39RVL_20190311T091038,3/11/2019,0,2a8ef04c-570a-49ed-b9ca-c7362b2f9040,6
43,Juaymah,Exact,0.098,0.98,26.9525,50.018167,39RVK,1/27/2019,S2A_MSIL1C_20190202T072121_N0207_R006_T39RVK_20190202T084131,2/2/2019,29.1756,20ba1842-7e86-4e65-a8e8-ceea3fd727bb,6
17,Juaymah,Exact,0.471,4.71,,,39RVK,1/12/2019,S2B_MSIL1C_20190118T072229_N0207_R006_T39RVK_20190118T092953,1/18/2019,0.011,daa3978f-21d1-44a0-841c-9b695d5b6287,6
114,Juaymah,Exact,0.424,4.24,26.925,50.0845,39RVK,10/9/2018,S2A_MSIL1C_20181015T071851_N0206_R006_T39RVK_20181015T093104,10/15/2018,0.0482,70956352-cea9-4b84-8041-1e0e5d906fde,6
143,Abu Safah,Exact,0.009,0.09,26.9296,50.50535,39RVK,9/3/2018,S2B_MSIL1C_20180907T070609_N0206_R106_T39RVK_20180907T110607,9/7/2018,0.1095,ca9c674b-1512-4e94-acbf-ec7109ed30e9,4
130,Abu Safah,Exact,3.788,37.88,26.923,50.503833,39RVK,7/8/2018,S2A_MSIL1C_20180714T070621_N0206_R106_T39RVK_20180714T091907,7/14/2018,0.5312,0462af7d-1e32-4bbd-b353-9ba77d85f8e7,6
6,Safaniyah,Exact,1.645,16.45,28.048667,48.768833,39RTM,7/2/2018,S2A_MSIL1C_20180707T071621_N0206_R006_T39RTM_20180707T092113,7/7/2018,0.2189,dfc3214d-3598-4b0c-a78c-b69fe427ba2f,5
92,Safaniyah,Exact,0.003,0.03,28.213,48.8355,39RTM,6/11/2018,S2A_MSIL1C_20180617T071621_N0206_R006_T39RTM_20180617T102016,6/17/2018,0.1054,36ab608a-46d3-4d52-a291-abfeb3170f44,6
107,Juaymah,Exact,0.515,5.15,26.911667,50.046667,39RVK,6/10/2018,S2A_MSIL1C_20180614T070621_N0206_R106_T39RVK_20180614T091927,6/14/2018,0.2175,2d51674e-6b68-4d9d-905d-d25820334dd4,4
179,Juaymah,Exact,0.438,4.38,26.911667,50.046667,39RVK,6/1/2018,S2A_MSIL1C_20180607T071621_N0206_R006_T39RVK_20180607T092018,6/7/2018,0.0202,2bde8fe5-534b-4d7e-bfa3-cd9b2c9fe383,6
326,Juaymah,Exact,0.013,0.13,26.911667,50.046667,39RVK,5/31/2018,S2A_MSIL1C_20180604T070621_N0206_R106_T39RVK_20180604T100402,6/4/2018,0.2434,15480459-99f2-4ce1-95cd-9c9d85a59cb7,4
21,Juaymah,Exact,1.109,11.09,26.911667,50.046667,39RVK,5/26/2018,S2B_MSIL1C_20180530T070619_N0206_R106_T39RVK_20180530T100751,5/30/2018,0.0828,d66f6184-d93c-40d5-a1e6-a40541bf088c,4
75,Safaniyah,Exact,0.234,2.34,28.136667,48.7755,39RTM,5/7/2018,S2B_MSIL1C_20180513T071619_N0206_R006_T39RTM_20180513T092905,5/13/2018,0.2895,ce545e4b-edd8-473d-8a79-2d8b944bb350,6
161,Juaymah,Exact,0.137,1.37,26.929167,50.06,39RVK,4/27/2018,S2B_MSIL1C_20180503T071619_N0206_R006_T39RVK_20180503T110510,5/3/2018,93.1422,1f984713-f335-44e7-8886-5cb6cffebffe,6
258,Safaniyah,Exact,2.766,27.66,28.128033,48.774667,39RTM,4/26/2018,S2A_MSIL1C_20180501T072621_N0206_R049_T39RTM_20180501T094205,5/1/2018,0,98a6d214-df25-4686-a531-280ef56d8efb,5
167,Safaniyah,Exact,0.009,0.09,28.336333,48.921667,39RTM,4/22/2018,S2A_MSIL1C_20180428T071621_N0206_R006_T39RTM_20180428T102425,4/28/2018,73.4482,0711fe80-2629-45c0-b124-a45d8557c45d,6
310,Safaniyah,Exact,0.04,0.4,28.336333,48.921667,39RTM,4/21/2018,S2B_MSIL1C_20180426T072619_N0206_R049_T39RTM_20180426T111919,4/26/2018,2.6192,ac0da8db-d0c1-4fcd-b177-840b458d21f7,5
